title,year,rating,type,ganres
eXistenZ,1999,6.8,movie,Sci-Fi;Thriller;Horror
Mystery Men,1999,6.1,movie,Fantasy;Comedy;Sci-Fi;Action
Galaxy Quest,1999,7.3,movie,Adventure;Comedy;Sci-Fi
Star Wars: Episode I - The Phantom Menace,1999,6.5,movie,Adventure;Fantasy;Sci-Fi;Action
Deep Blue Sea,1999,5.9,movie,Adventure;Sci-Fi;Action;Thriller
The Matrix,1999,8.7,movie,Sci-Fi;Action
