title,year,rating,type,ganres
The Talented Mr. Ripley,1999,7.4,movie,Crime;Drama;Thriller
Boys Don't Cry,1999,7.5,movie,Crime;Drama;Romance;Biography
The Green Mile,1999,8.6,movie,Fantasy;Crime;Drama;Mystery
The World Is Not Enough,1999,6.4,movie,Adventure;Crime;Action;Thriller
Austin Powers: The Spy Who Shagged Me,1999,6.6,movie,Adventure;Crime;Comedy;Action
Double Jeopardy,1999,6.5,movie,Crime;Drama;Thriller;Mystery
